num	input_sequence	fol_translation	prompt_1-translations	prompt_1-evals	prompt_2-translations	prompt_2-evals	prompt_3-translations	prompt_3-evals	prompt_3_adjustment_prompt_1-translations	prompt_3_adjustment_prompt_1-evals	prompt_3_adjustment_prompt_1_adjustment_prompt_1-translations	prompt_3_adjustment_prompt_1_adjustment_prompt_1-evals	prompt_4-translations	prompt_4-evals	prompt_4_adjustment_prompt_2-translations	prompt_4_adjustment_prompt_2-evals	prompt_5-translations	prompt_5-evals	prompt_5_adjustment_prompt_3-translations	prompt_5_adjustment_prompt_3-evals	cnf-translations	cnf-evals	horn-translations	horn-evals	prompt_6-translations	prompt_6-evals	prompt_6_adjustment_prompt_4-translations	prompt_6_adjustment_prompt_4-evals	prompt_7-translations	prompt_7-evals	prompt_7_adjustment_prompt_5-translations	prompt_7_adjustment_prompt_5-evals
509	it is wrong for a teacher to bully a student.	∀x∀y(Teacher(x) ∧ Student(y) ∧ Bullies(x,y) → evaluation(WRONG))																			evaluation(WRONG) | ~Teacher(v13) | ~Student(v14) | ~Bullies(v13, v14)	1	(¬Teacher(v13) ∨ ¬Student(v14) ∨ ¬Bullies(v13, v14) ∨ evaluation(WRONG))	1	∀x∀y(Teacher(x) ∧ Student(y) ∧ Bullies(x, y) → evaluation(WRONG))	1	∀x∀y(Teacher(x) ∧ Student(y) ∧ Bullies(x, y) → evaluation(WRONG))	1				
510	it's wrong to look for other options if your present choice is not satisfactory to you.	∀y(PresentChoice(X) ∧ BelongsTo(X,y) ∧ ¬Satisfactory(X,y) ∧ Option(Z) ∧ LookFor(y,Z) → evaluation(WRONG))																			evaluation(WRONG) | ~Choice(v16, v15) | ~NotSatisfactory(v16) | ~LookForOtherOptions(v15)	1	(¬Choice(v16, v15) ∨ ¬NotSatisfactory(v16) ∨ ¬LookForOtherOptions(v15) ∨ evaluation(WRONG))	1	∀x(NotSatisfactory(x, PresentChoice(x)) ∧ LookForOtherOptions(x) → evaluation(WRONG))	0	∀x∀y(Choice(y,x) ∧ NotSatisfactory(y) ∧ LookForOtherOptions(x) → evaluation(WRONG))	1				
																								1					∀x(TakeCare(x) ∧ DoNiceThingsForSelf(x) → evaluation(GOOD))	1		
																								0					∀x∀y(Employer(x,y) ∧ Doubts(y) → evaluation(OK))	1		
																								0					∀x∀y(SomeoneHireTourGuide(x) ∧ LearnAboutNewPlaces(x, y) → evaluation(FUN))	1		
																								1					∀x∀y(GoOutCamping(x,y) ∧ Buddies(y) → evaluation(GOOD))	1		
																								1					∀x∀y(People(x) ∧ DateBasedOnAge(x,y) → evaluation(GOOD))	1		
																								0					∀x(¬WantSTD(x) ∧ ¬SleepAround(x) → evaluation(GOOD))	1		
																								0					∀x∀y(Accident(y) ∧ In(x,y) ∧ ¬AlwaysGetRegistrationInfo(x) → evaluation(GOOD))	1		
																								1					∀x∀y(Friends(x,y) ∧ Relationship(y,z) ∧ RootForSuccess(x,z) → evaluation(GOOD))	1		
																								1					∀x(GettingCircumcised(x) → evaluation(NOT_NORMAL))	1		
																								1					∀x(WorksOn(x, AMAZONMECHANICALTURK) ∧ Frustrated(x) → evaluation(NOT_OK))	1		
																								1					∀x(HealthScare(x) ∧ Averted(x) → evaluation(BAD))	1		
100	it's good to take care and do nice things for yourself.																				evaluation(GOOD) | ~TakesCare(v0, v0) | ~DoesNiceThings(v0, v0)	1	(¬TakesCare(v0, v0) ∨ ¬DoesNiceThings(v0, v0) ∨ evaluation(GOOD))	1	∀x(TakesCare(x) ∧ DoesNiceThings(x) → evaluation(GOOD))	1	∀x(TakesCare(x, x) ∧ DoesNiceThings(x, x) → evaluation(GOOD))	1				
101	it's okay to have doubts about your employers programs.																				evaluation(OK) | ~Employer(v2) | ~Program(v1) | ~HasDoubts(v2, v1)	1	(¬Employer(v2) ∨ ¬Program(v1) ∨ ¬HasDoubts(v2, v1) ∨ evaluation(OK))	1	∀x∀y(Employer(x,y) ∧ HasDoubtsAboutProgram(x,y) → evaluation(OK))	1	∀x∀y(Employer(y) ∧ Program(x) ∧ HasDoubts(y,x) → evaluation(OK))	1				
102	it's fun to hire a tour guide to learn about new places.																				evaluation(FUN) | ~TourGuide(v4) | ~Hires(v3, v4) | ~LearnsAboutNewPlaces(v3, v4)	1	(¬TourGuide(v4) ∨ ¬Hires(v3, v4) ∨ ¬LearnsAboutNewPlaces(v3, v4) ∨ evaluation(FUN))	1	∀x∀y(Hires(x,y) ∧ TourGuide(y) ∧ LearnsAboutNewPlaces(x) → evaluation(FUN))	1	∀x∀y(TourGuide(y) ∧ Hires(x,y) ∧ LearnsAboutNewPlaces(x,y) → evaluation(FUN))	1				
103	it's good to go out camping with your buddies.																				evaluation(GOOD) | ~Buddies(v5, v6) | ~GoCampingWith(v5, v6)	1	(¬Buddies(v5, v6) ∨ ¬GoCampingWith(v5, v6) ∨ evaluation(GOOD))	1	∀x∀y(GoCampingWith(x,y) ∧ Buddies(x,y) → evaluation(GOOD))	1	∀x∀y(Buddies(x,y) ∧ GoCampingWith(x,y) → evaluation(GOOD))	1				
104	people should date others based solely on their age.																				evaluation(GOOD) | ~People(v7) | ~People(v8) | ~Age(v8) | ~Date(v7, v8)	1	(¬People(v7) ∨ ¬People(v8) ∨ ¬Age(v8) ∨ ¬Date(v7, v8) ∨ evaluation(GOOD))	1	∀x∀y(People(x) ∧ DatesBasedOnAge(x, y) → evaluation(GOOD))	1	∀x∀y(People(x) ∧ People(y) ∧ Age(y) ∧ Date(x,y) → evaluation(GOOD))	1				
105	you should sleep around if you don't want an std.																				evaluation(GOOD) | ~People(v9) | ~SleepsAround(v9) | WantsSTD(v9)	1	NOT HORN	0	∀x((SleepsAround(x) ∧ ¬Wants(x, STD)) → evaluation(NOT_GOOD))	1	∀x((People(x) ∧ SleepsAround(x) ∧ ¬WantsSTD(x)) → evaluation(GOOD))	1				
106	you should not always get registration information when in an accident																				evaluation(GOOD) | ~Accident(v10, v11) | ~NotAlwaysGetRegistrationInfo(v10, v11)	1	(¬Accident(v10, v11) ∨ ¬NotAlwaysGetRegistrationInfo(v10, v11) ∨ evaluation(GOOD))	1	∀x∀y(InAccident(x, y) ∧ AlwaysGetRegistrationInfo(x, y) → evaluation(NOT_GOOD))	1	∀x∀y(Accident(x,y) ∧ NotAlwaysGetRegistrationInfo(x,y) → evaluation(GOOD))	1				
107	people should root for the success of their friends' relationships.																				evaluation(GOOD) | ~Friends(v12, v13) | ~Relationship(v13, v14) | ~RootForSuccess(v12, v14)	1	(¬Friends(v12, v13) ∨ ¬Relationship(v13, v14) ∨ ¬RootForSuccess(v12, v14) ∨ evaluation(GOOD))	1	∀x∀y(Friends(x,y) ∧ Relationships(y,z) ∧ RootsForSuccess(x,z) → evaluation(GOOD))	1	∀x∀y(Friends(x,y) ∧ Relationship(y,z) ∧ RootForSuccess(x,z) → evaluation(GOOD))	1				
108	getting circumcised isn't normal.																				evaluation(NOT_NORMAL) | ~GettingCircumcised(v15)	1	(¬GettingCircumcised(v15) ∨ evaluation(NOT_NORMAL))	1	∀x(GettingCircumcised(x) → evaluation(NOT_NORMAL))	1	∀x(GettingCircumcised(x) → evaluation(NOT_NORMAL))	1				
109	it's not ok to be frustrated when you work on amazon mechanical turk.																				evaluation(NOT_OK) | ~WorksOnAmazonMechanicalTurk(v16) | ~Frustrated(v16)	1	(¬WorksOnAmazonMechanicalTurk(v16) ∨ ¬Frustrated(v16) ∨ evaluation(NOT_OK))	1	∀x(WorksOn(x, AMAZONMECHANICALTURK) ∧ Frustrated(x) → evaluation(NOT_OK))	1	∀x((WorksOnAmazonMechanicalTurk(x) ∧ Frustrated(x)) → evaluation(NOT_OK))	1				
110	it's bad for your health scare to be averted.																				evaluation(NOT_BAD) | ~HealthScare(v17) | ~Averted(v17)	1	(¬HealthScare(v17) ∨ ¬Averted(v17) ∨ evaluation(NOT_BAD))	1	∀x(HealthScare(x) ∧ Averted(x) → evaluation(BAD))	1	∀x(HealthScare(x) ∧ Averted(x) → evaluation(NOT_BAD))	1				
