	num	input_sequence	fol-translation	fol-eval	fol_adjustment-translation	fol_adjustment-eval	cnf	cnf-eval	horn	horn-eval
841	7705	it's not understandable to want to get out of doing things with our friends we don't enjoy.	∀x∀y∀z∀w(Thing(w) ∧ Friends(x,y) ∧ NotEnjoy(y,w) ∧ WantToGetOutOfDoing(y,z,w) → evaluation(BAD))	1	∀x∀y∀z∀w(Thing(w) ∧ Friends(x,y) ∧ ¬Enjoy(y,w) ∧ WantToGetOutOfDoing(y,z,w) → evaluation(GOOD))	1	evaluation(GOOD) | ~Thing(v94) | ~Friends(v91, v92) | Enjoy(v92, v94) | ~WantToGetOutOfDoing(v92, v93, v94)	1	INVALID HORN	0
843	7707	you should not explain to someone why if you want to leave them.	∀x∀y(WantsToLeave(x, y) ∧ ExplainsTo(x,y,WHY) → evaluation(BAD))	1	∀x∀y(WantsToLeave(x, y) ∧ ¬ExplainsTo(x,y,WHY) → evaluation(GOOD))	1	evaluation(GOOD) | ~WantsToLeave(v97, v98) | ExplainsTo(v97, v98, WHY)	1	INVALID HORN	0
846	7710	it's fine to be hesitant about whether you're ready to adopt a child.	∀x∀y(Child(y) ∧ ReadyToAdopt(x, y) ∧ HesitantAbout(x, y) → evaluation(GOOD))	1	∀x∀y(Child(y) ∧ ¬ReadyToAdopt(x, y) ∧ HesitantAbout(x, y) → evaluation(GOOD))	1	evaluation(GOOD) | ~Child(v103) | ReadyToAdopt(v102, v103) | ~HesitantAbout(v102, v103)	1	INVALID HORN	0
852	7805	you shouldn't console your loved ones when they are upset.	∀x∀y(LovedOnes(y,x) ∧ Upset(y) ∧ Consoles(x,y) → evaluation(BAD))	1	∀x∀y(LovedOnes(y,x) ∧ Upset(y) ∧ ¬Consoles(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~LovedOnes(v115, v114) | ~Upset(v115) | Consoles(v114, v115)	1	INVALID HORN	0
859	7901	it's okay to get frustrated when you feel that a relationship is not equal.	∀x∀y(Relationship(y) ∧ BelongsTo(y,x) ∧ ¬Equal(y) ∧ Feels(x,y) ∧ Frustrated(x) → evaluation(GOOD))	1	∀x∀y(Relationship(y) ∧ BelongsTo(y,x) ∧ ¬Equal(y) ∧ Feel(x,y) ∧ Frustrated(x) → evaluation(GOOD))	1	evaluation(GOOD) | ~Relationship(v128) | ~BelongsTo(v128, v127) | Equal(v128) | ~Feel(v127, v128) | ~Frustrated(v127)	1	INVALID HORN	0
861	7903	it is not ok to say what you like and what you don't	∀x∀y∀z(Likes(x,y) ∧ ¬Likes(x,z) ∧ SaysAboutLikesDislikes(x,y,z) → evaluation(BAD))	1	∀x∀y∀z(Likes(x,y) ∧ ¬Likes(x,z) ∧ SaysAboutLikesDislikes(x,y,z) → evaluation(BAD))	1	evaluation(BAD) | ~Likes(v131, v132) | Likes(v131, v133) | ~SaysAboutLikesDislikes(v131, v132, v133)	1	INVALID HORN	0
863	7905	people should feel obligated to answer numbers from callers they don't know.	∀x∀y∀z(People(x) ∧ Number(y) ∧ From(z,y) ∧ ¬Knows(x,z) ∧ FeelsObligatedToAnswer(x,y) → evaluation(GOOD))	1	∀x∀y∀z(People(x) ∧ Number(y) ∧ Caller(z,y) ∧ ¬Knows(x,z) ∧ FeelsObligatedToAnswer(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~People(v136) | ~Number(v137) | ~Caller(v138, v137) | Knows(v136, v138) | ~FeelsObligatedToAnswer(v136, v137)	1	INVALID HORN	0
866	7908	it's good to tell people when you don't find them attractive.	∀x∀y(People(y) ∧ ¬FindsAttractive(x, y) ∧ Tells(x, y) → evaluation(GOOD))	1	∀x∀y(People(y) ∧ ¬FindsAttractive(x, y) ∧ Tells(x, y) → evaluation(GOOD))	1	evaluation(GOOD) | ~People(v142) | FindsAttractive(v141, v142) | ~Tells(v141, v142)	1	INVALID HORN	0
877	8008	it's bad to bring awareness to people who aren't pulling their weight.	∀x∀y(People(y) ∧ ¬PullsTheirWeight(y) ∧ BringsAwarenessTo(x,y) → evaluation(BAD))	1	∀x∀y(People(y) ∧ ¬PullsTheirWeight(y) ∧ BringsAwarenessTo(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~People(v160) | PullsTheirWeight(v160) | ~BringsAwarenessTo(v159, v160)	1	INVALID HORN	0
883	8103	it is unkind to not kill your prey.	∀x∀y(PreyOf(y,x) ∧ ¬Kill(x,y) → evaluation(BAD))	1	∀x∀y(PreyOf(y,x) ∧ ¬Kill(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~PreyOf(v172, v171) | Kill(v171, v172)	1	INVALID HORN	0
888	8108	it is ok to not have a good relationship with your child.	∀x∀y(ChildOf(y,x) ∧ ¬GoodRelationship(x,y) → evaluation(GOOD))	1	∀x∀y(ChildOf(y,x) ∧ ¬GoodRelationship(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~ChildOf(v183, v182) | GoodRelationship(v182, v183)	1	INVALID HORN	0
890	8200	it's bad to take stuff you don't need.	∀x∀y(Stuff(x) ∧ Takes(y,x) ∧ ¬Needs(y,x) → evaluation(BAD))	1	∀x∀y(Stuff(x) ∧ Takes(y,x) ∧ ¬Needs(y,x) → evaluation(BAD))	1	evaluation(BAD) | ~Stuff(v186) | ~Takes(v187, v186) | Needs(v187, v186)	1	INVALID HORN	0
891	8201	if nothing means anything anymore, you should not get some help .	∀x∀y(NothingMeansAnythingAnymore(x) ∧ GetsHelp(y) → evaluation(BAD))	1	∀x∀y(NothingMeansAnythingAnymore(x) ∧ ¬GetsHelp(y) → evaluation(GOOD))	1	evaluation(GOOD) | ~NothingMeansAnythingAnymore(v188) | GetsHelp(v189)	1	INVALID HORN	0
896	8206	it's not frowned upon to not care about the negative impact your actions can have on others.	∀x∀y∃z(Action(x) ∧ BelongsTo(x,y) ∧ NegativeImpact(x,z) ∧ ¬CaresAbout(y,z) → evaluation(GOOD))	1	∀x∀y∃z(Action(x) ∧ BelongsTo(x,y) ∧ NegativeImpact(x,z) ∧ ¬CaresAbout(y,z) → evaluation(GOOD))	1	evaluation(GOOD) | ~Action(v200) | ~BelongsTo(v200, v201) | ~NegativeImpact(v200, f7(v200,v201)) | CaresAbout(v201, f7(v200,v201))	1	INVALID HORN	0
900	8210	it's insensitive to expect payment from someone without a job.	∀x∀y(ExpectPaymentFrom(x,y) ∧ ¬HasJob(y) → evaluation(BAD))	1	∀x∀y(ExpectPaymentFrom(x,y) ∧ ¬HasJob(y) → evaluation(BAD))	1	evaluation(BAD) | ~ExpectPaymentFrom(v3, v4) | HasJob(v4)	1	INVALID HORN	0
906	8305	it is not okay to have different friends than other people.	∀x∀y∃z(Friends(x,y) ∧ People(z) ∧ ¬Friends(z,y) → evaluation(BAD))	1	∀x∀y(∃z(People(z) ∧ Friends(x,y)) ∧ ∀w(People(w) ∧ ¬Friends(w,y)) → evaluation(BAD))	1	evaluation(BAD) | ~People(v17) | ~Friends(v14, v15) | ~People(v16) | Friends(v16, v15)	1	INVALID HORN	0
907	8306	it is wrong to ask someone who is not good for the group to leave.	∀x∀y∀z(Group(z) ∧ Member(y,z) ∧ ¬GoodFor(y,z) ∧ AsksToLeave(x,y) → evaluation(BAD))	1	∀x∀y∀z(Group(z) ∧ Member(y,z) ∧ ¬GoodFor(y,z) ∧ AsksToLeave(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~Group(v20) | ~Member(v19, v20) | GoodFor(v19, v20) | ~AsksToLeave(v18, v19)	1	INVALID HORN	0
932	8509	if you feel sluggish, you should not get some sleep .	∀x(Feels(x, SLUGGISH) ∧ ¬Sleeps(x) → evaluation(GOOD))	1	∀x(Feels(x, SLUGGISH) ∧ ¬Sleeps(x) → evaluation(GOOD))	1	evaluation(GOOD) | ~Feels(v64, SLUGGISH) | Sleeps(v64)	1	INVALID HORN	0
938	8604	it is optional that you have a license to pilot a plane.	INVALID FOL: ∀x∀y(Pilot(x) ∧ Plane(y) ∧ HasLicense(x,y) → evaluation(GOOD)) ∧ ¬HasLicense(x,y) → evaluation(GOOD))	0	∀x∀y(Pilot(x) ∧ Plane(y) → (HasLicense(x,y) ∨ ¬HasLicense(x,y)) → evaluation(GOOD))	1	~HasLicense(v76, v77) | evaluation(GOOD) | ~Pilot(v76) | ~Plane(v77) & HasLicense(v76, v77) | evaluation(GOOD) | ~Pilot(v76) | ~Plane(v77)	1	INVALID HORN	0
945	8700	it is rude not to have basic hygiene.	∀x(¬HasBasicHygiene(x) → evaluation(BAD))	1	∀x(¬HasBasicHygiene(x) → evaluation(BAD))	1	evaluation(BAD) | HasBasicHygiene(v90)	1	INVALID HORN	0
948	8703	it is trivial to not spoil a child.	∀x∀y(Child(x) ∧ Parent(y) ∧ ¬Spoils(y, x) → evaluation(GOOD))	1	∀x∀y(Child(x) ∧ Parent(y) ∧ ¬Spoils(y, x) → evaluation(GOOD))	1	evaluation(GOOD) | ~Child(v95) | ~Parent(v96) | Spoils(v96, v95)	1	INVALID HORN	0
955	8710	when it comes to family, blood is not stronger than any words.	∀x∀y∀z(FamilyOf(x,y) ∧ Blood(x) ∧ Words(z) ∧ ¬StrongerThan(x,z) → evaluation(BAD))	1	∀x∀y∀z(FamilyOf(x,y) ∧ Blood(x) ∧ Words(z) ∧ ¬StrongerThan(x,z) → evaluation(GOOD))	1	evaluation(GOOD) | ~FamilyOf(v109, v110) | ~Blood(v109) | ~Words(v111) | StrongerThan(v109, v111)	1	INVALID HORN	0
968	8901	it's right not to express your emotions.	∀x∀y(Emotion(x) ∧ BelongsTo(x, y) ∧ ¬Express(y, x) → evaluation(GOOD))	1	∀x∀y(Emotion(x) ∧ BelongsTo(x, y) ∧ ¬Express(y, x) → evaluation(GOOD))	1	evaluation(GOOD) | ~Emotion(v139) | ~BelongsTo(v139, v140) | Express(v140, v139)	1	INVALID HORN	0
972	8905	people are not expected to treat work seriously.	∀x∀y(People(x) ∧ Work(y) ∧ TreatsSeriously(x,y) → evaluation(BAD))	1	∀x∀y(People(x) ∧ Work(y) ∧ ¬TreatsSeriously(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~People(v147) | ~Work(v148) | TreatsSeriously(v147, v148)	1	INVALID HORN	0
975	8908	you should be careful so you don't get something stolen.	∀x∀y(Thing(y) ∧ BelongsTo(y,x) ∧ careful(x) ∧ ¬Stolen(y) → evaluation(GOOD))	1	∀x∀y(Thing(y) ∧ BelongsTo(y,x) ∧ careful(x) → ¬Stolen(y) → evaluation(GOOD))	1	evaluation(GOOD) | Stolen(v154) | ~Thing(v154) | ~BelongsTo(v154, v153) | ~careful(v153)	1	INVALID HORN	0
983	9005	it is unexpected that children should not be separated from their parents.	∀x∀y(Child(x) ∧ ParentOf(y,x) ∧ ¬SeparatedFrom(x,y) → evaluation(BAD))	1	∀x∀y(Child(x) ∧ ParentOf(y,x) ∧ ¬SeparatedFrom(x,y) → evaluation(GOOD))	1	evaluation(GOOD) | ~Child(v168) | ~ParentOf(v169, v168) | SeparatedFrom(v168, v169)	1	INVALID HORN	0
998	9109	you have to be faithful to a partner if you don't feel like it.	∀x∀y(PartnerOf(y,x) ∧ ¬FeelsLikeBeingFaithful(x,y) → evaluation(BAD))	1	∀x∀y(PartnerOf(y,x) ∧ ¬FeelsLikeBeingFaithful(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~PartnerOf(v201, v200) | FeelsLikeBeingFaithful(v200, v201)	1	INVALID HORN	0
1004	9205	boyfriends are not expected to show support to their girlfriends when they are having a rough time.	∀x∀y(BoyfriendOf(x,y) ∧ HasRoughTime(y) ∧ ShowsSupport(x,y) → evaluation(BAD))	1	∀x∀y(BoyfriendOf(x,y) ∧ HasRoughTime(y) ∧ ¬ShowsSupport(x,y) → evaluation(BAD))	1	evaluation(BAD) | ~BoyfriendOf(v6, v7) | ~HasRoughTime(v7) | ShowsSupport(v6, v7)	1	INVALID HORN	0
